Month,Market,Risk Free,Premium,Small,Big,SMB,High B/M,Low B/M,HML,Winner,Loser,UMD,S-Rf,B-Rf,H-Rf,L-Rf,U-Rf,D-Rf
1,0.015743373,0.002985542,0.012757831,0.043813655,0.019387149,0.024426506,0.045398193,0.021360843,0.024037349,0.024666265,0.040957831,-0.016291566,0.041313655,0.016887149,0.042898193,0.018860843,0.022166265,0.038457831
2,0.0043,0.002809639,0.001490361,0.009714859,0.003554618,0.006160241,0.007112651,0.005242169,0.001870482,0.012548193,0.000357831,0.012190361,0.007214859,0.001054618,0.004612651,0.002742169,0.010048193,-0.002142169
3,0.00653253,0.003051807,0.003480723,0.007804016,0.006241767,0.001562249,0.007763855,0.005515663,0.002248193,0.013827711,0.001698193,0.012129518,0.005304016,0.003741767,0.005263855,0.003015663,0.011327711,-0.000801807
4,0.013371084,0.00306747,0.010303614,0.015827309,0.016649799,-0.00082249,0.0219,0.010115663,0.011784337,0.017108434,0.014464458,0.002643976,0.013327309,0.014149799,0.0194,0.007615663,0.014608434,0.011964458
5,0.006513253,0.003059036,0.003454217,0.011648594,0.00691245,0.004736145,0.010599398,0.009695783,0.000903614,0.011422892,0.006545181,0.004877711,0.009148594,0.00441245,0.008099398,0.007195783,0.008922892,0.004045181
6,0.009390361,0.002971084,0.006419277,0.008566265,0.009744578,-0.001178313,0.008543976,0.009495783,-0.000951807,0.015146988,0.002510843,0.012636145,0.006066265,0.007244578,0.006043976,0.006995783,0.012646988,1.08434E-05
7,0.014636145,0.003039759,0.011596386,0.015628514,0.01803494,-0.002406426,0.022851807,0.01213012,0.010721687,0.014593976,0.01579759,-0.001203614,0.013128514,0.01553494,0.020351807,0.00963012,0.012093976,0.01329759
8,0.013772289,0.00299759,0.010774699,0.016141365,0.015436948,0.000704418,0.018342169,0.01326747,0.005074699,0.01530241,0.017889759,-0.002587349,0.013641365,0.012936948,0.015842169,0.01076747,0.01280241,0.015389759
9,-0.008472289,0.003054217,-0.011526506,-0.005176305,-0.008861044,0.003684739,-0.009058434,-0.005910843,-0.00314759,-0.003012651,-0.014098795,0.011086145,-0.007676305,-0.011361044,-0.011558434,-0.008410843,-0.005512651,-0.016598795
10,0.001028916,0.003138554,-0.002109639,-0.00693494,0.001454618,-0.008389558,-0.005130723,-0.002357229,-0.002773494,0.00148012,-0.008778313,0.010258434,-0.00943494,-0.001045382,-0.007630723,-0.004857229,-0.00101988,-0.011278313
11,0.014855422,0.002891566,0.011963855,0.016046988,0.013893173,0.002153815,0.01326506,0.017227108,-0.003962048,0.019974096,0.008758434,0.011215663,0.013546988,0.011393173,0.01076506,0.014727108,0.017474096,0.006258434
12,0.017620482,0.003048193,0.014572289,0.016383133,0.016668675,-0.000285542,0.014123494,0.018748193,-0.004624699,0.028280723,0.001336145,0.026944578,0.013883133,0.014168675,0.011623494,0.016248193,0.025780723,-0.001163855
