Year,Wal-Mart,Target,The Gap,Ltd. Brands,Dillard's,J.C. Penney,Macy's,Kroger,Supervalu,Safeway,Costco,S&P 500
1994,20.9,13.9,17.9,15.2,13.6,12.4,-,10.8,17.2,-,19.6,15.25547445
1995,20.4,18.6,15,22.2,13.3,13.9,20.7,11.7,17.1,14.3,14.1,14.89051095
1996,18.4,14.1,19,17.3,16,16.1,15.8,15.3,19.5,17.8,14.9,16
1997,21.8,17.1,22.3,17.5,15.4,17.9,15.5,17.2,17.9,20.7,16.9,17.3015873
1998,31.2,22.2,29.2,20.7,13.6,25.2,15.3,23.1,22.5,26.3,24.4,19.25925926
1999,39.1,25.5,33.5,21.4,12.1,21.6,12.8,22.4,20.5,25.1,30.7,17.53363229
2000,38,22.2,32.5,21.6,13.1,NMF,10.9,15.8,13.5,22,31.1,15.38461538
2001,34.9,23.3,NMF,17.4,20.9,NMF,13,16.2,16,18.5,29.7,19.4972067
2002,30.3,20,25.2,17.2,13.6,16.4,11.1,11.3,13,11.8,26.8,18.25301205
2003,26.9,18,16.7,14.8,NMF,17.1,11,14.3,13.5,11.7,21.2,17.58169935
2004,22.8,22.2,17.7,15.7,15.8,15.7,13,16.3,18.7,17,20,18.68852459
2005,18.3,19.7,15.8,17.3,14.8,13.8,13,14,14.4,15.8,22.3,17.07
2006,16,16.7,19.8,15.9,48.3,14,17.7,14.1,13.7,15.7,22.1,16.91
2007,14.9,18,17.2,12.5,n/a,13.9,16.4,16.4,14.3,17.2,21,17.21
2008,16.2,16.2,12.5,23.7,48.3,13.1,13.9,14.1,10.7,12.4,23.1,14.72
2009,14.65027322,15.62121212,12.15822785,14.03649635,22.51351351,23.42056075,11.07092199,12.44508671,7.956756757,12.94285714,22.49027237,18
