Date,Mkt,Rf,Rm-Rf,S,B,SMB,H,L,HML,U,D,UMD,S-Rf,B-Rf,H-Rf,L-Rf,U-Rf,D-Rf
192701,0.0014,0.0025,-0.0011,0.0122,0.0133,-0.0011,0.04405,-0.00515,0.0492,0.00045,-0.00185,0.0023,0.0097,0.0108,0.04155,-0.00765,-0.00205,-0.00435
192702,0.0458,0.0026,0.0432,0.0573,0.053766667,0.003533333,0.07245,0.04075,0.0317,0.0494,0.06475,-0.01535,0.0548,0.051266667,0.06995,0.03825,0.0469,0.06225
192703,0.0062,0.003,0.0032,-0.021366667,-0.0027,-0.018666667,-0.02995,-0.00075,-0.0292,-0.0022,-0.03445,0.03225,-0.023866667,-0.0052,-0.03245,-0.00325,-0.0047,-0.03695
192704,0.0066,0.0025,0.0041,0.012,0.0076,0.0044,0.0232,0.0099,0.0133,0.0269,-0.0159,0.0428,0.0095,0.0051,0.0207,0.0074,0.0244,-0.0184
192705,0.0569,0.003,0.0539,0.0634,0.0594,0.004,0.0851,0.0576,0.0275,0.07155,0.0382,0.03335,0.0609,0.0569,0.0826,0.0551,0.06905,0.0357
192706,-0.0204,0.0026,-0.023,-0.0111,-0.020733333,0.009633333,-0.0237,-0.00835,-0.01535,-0.0216,-0.028,0.0064,-0.0136,-0.023233333,-0.0262,-0.01085,-0.0241,-0.0305
192707,0.0757,0.003,0.0727,0.045466667,0.077166667,-0.0317,0.0551,0.0691,-0.014,0.07905,0.0392,0.03985,0.042966667,0.074666667,0.0526,0.0666,0.07655,0.0367
192708,0.027,0.0028,0.0242,0.004333333,0.0123,-0.007966667,-0.00165,0.03325,-0.0349,0.01835,0.00515,0.0132,0.001833333,0.0098,-0.00415,0.03075,0.01585,0.00265
192709,0.049,0.0021,0.0469,0.015866667,0.048666667,-0.0328,0.02645,0.0354,-0.00895,0.0441,0.02775,0.01635,0.013366667,0.046166667,0.02395,0.0329,0.0416,0.02525
192710,-0.0419,0.0025,-0.0444,-0.027066667,-0.0467,0.019633333,-0.0606,-0.0191,-0.0415,-0.0464,-0.0331,-0.0133,-0.029566667,-0.0492,-0.0631,-0.0216,-0.0489,-0.0356
192711,0.0687,0.0021,0.0666,0.092033333,0.069933333,0.0221,0.0851,0.0871,-0.002,0.0783,0.0831,-0.0048,0.089533333,0.067433333,0.0826,0.0846,0.0758,0.0806
192712,0.0237,0.0022,0.0215,0.035166667,0.0265,0.008666667,0.02815,0.0383,-0.01015,0.0387,0.0078,0.0309,0.032666667,0.024,0.02565,0.0358,0.0362,0.0053
192801,-0.0035,0.0025,-0.006,0.0333,-0.011533333,0.044833333,0.00355,0.01645,-0.0129,0.00475,0.0071,-0.00235,0.0308,-0.014033333,0.00105,0.01395,0.00225,0.0046
192802,-0.0144,0.0033,-0.0177,-0.035066667,-0.0161,-0.018966667,-0.03535,-0.0269,-0.00845,-0.0331,-0.0196,-0.0135,-0.037566667,-0.0186,-0.03785,-0.0294,-0.0356,-0.0221
192803,0.0909,0.0029,0.088,0.079733333,0.082533333,-0.0028,0.0786,0.096,-0.0174,0.116,0.0661,0.0499,0.077233333,0.080033333,0.0761,0.0935,0.1135,0.0636
192804,0.0432,0.0022,0.041,0.083466667,0.042,0.041466667,0.06585,0.03705,0.0288,0.03875,0.07915,-0.0404,0.080966667,0.0395,0.06335,0.03455,0.03625,0.07665
192805,0.0184,0.0032,0.0152,0.036933333,0.010833333,0.0261,0.01405,0.04655,-0.0325,0.03145,0.01365,0.0178,0.034433333,0.008333333,0.01155,0.04405,0.02895,0.01115
192806,-0.0453,0.0031,-0.0484,-0.080833333,-0.045166667,-0.035666667,-0.0637,-0.06345,-0.00025,-0.0523,-0.0726,0.0203,-0.083333333,-0.047666667,-0.0662,-0.06595,-0.0548,-0.0751
192807,0.0101,0.0032,0.0069,-0.0064,0.0081,-0.0145,0.0002,0.00585,-0.00565,0.01585,-0.0083,0.02415,-0.0089,0.0056,-0.0023,0.00335,0.01335,-0.0108
192808,0.0696,0.0032,0.0664,0.045566667,0.0657,-0.020133333,0.04625,0.0716,-0.02535,0.0822,0.0429,0.0393,0.043066667,0.0632,0.04375,0.0691,0.0797,0.0404
192809,0.0314,0.0027,0.0287,0.053966667,0.0336,0.020366667,0.0543,0.04625,0.00805,0.06695,0.0267,0.04025,0.051466667,0.0311,0.0518,0.04375,0.06445,0.0242
192810,0.0188,0.0041,0.0147,0.034233333,0.013333333,0.0209,0.00845,0.03495,-0.0265,0.0485,0.0047,0.0438,0.031733333,0.010833333,0.00595,0.03245,0.046,0.0022
192811,0.1213,0.0038,0.1175,0.106633333,0.122166667,-0.015533333,0.1229,0.09545,0.02745,0.10925,0.0958,0.01345,0.104133333,0.119666667,0.1204,0.09295,0.10675,0.0933
192812,0.0053,0.0006,0.0047,-0.005133333,0.004233333,-0.009366667,0.00115,0.0047,-0.00355,0.00085,-0.01505,0.0159,-0.007633333,0.001733333,-0.00135,0.0022,-0.00165,-0.01755
192901,0.0521,0.0034,0.0487,0.015433333,0.042266667,-0.026833333,0.01555,0.03535,-0.0198,0.04385,0.02225,0.0216,0.012933333,0.039766667,0.01305,0.03285,0.04135,0.01975
192902,-0.0002,0.0036,-0.0038,0.014833333,0.001733333,0.0131,0.00965,0.0014,0.00825,0.02415,-0.00745,0.0316,0.012333333,-0.000766667,0.00715,-0.0011,0.02165,-0.00995
192903,-0.008,0.0034,-0.0114,-0.041566667,-0.001433333,-0.040133333,-0.02565,-0.03395,0.0083,-0.02575,-0.0196,-0.00615,-0.044066667,-0.003933333,-0.02815,-0.03645,-0.02825,-0.0221
