,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents
24907,0,0.0539986829999999,63,0,0.455155947,6700.0,9,0,3,0,1.0
75429,0,0.041150826,56,0,588.0,,11,0,0,0,0.0
1464,1,0.702381432,54,0,0.866732547,14166.0,21,0,6,0,3.0
85425,0,0.0120005359999999,31,1,0.398069649,7666.0,15,0,2,0,0.0
16720,0,0.099330022,47,0,1.081314073,4291.0,7,0,2,0,0.0
22039,0,0.7507329919999999,32,0,0.382004185,4300.0,8,0,0,0,2.0
32517,0,1.010619332,70,0,0.246186218,3801.0,12,0,0,0,0.0
140400,0,0.008373442,47,0,0.036852269,6213.0,5,0,0,0,3.0
37482,0,0.0,59,0,0.2730039799999999,4270.0,9,0,1,0,1.0
58297,0,0.205631016,38,0,0.8092265939999999,3684.0,8,0,2,0,2.0
50975,0,0.0982500389999999,64,0,0.3665225309999999,8787.0,8,0,2,0,1.0
119402,0,0.4498325879999999,47,0,4596.0,,6,0,2,0,2.0
45197,0,0.191807413,44,0,0.239926563,10348.0,7,0,2,0,3.0
53423,0,0.2738030049999999,59,0,4504.0,,7,0,2,0,0.0
102589,0,0.026811662,72,0,0.0047152019999999,5301.0,4,0,0,0,0.0
124333,0,0.175294538,26,0,233.0,,4,0,0,0,0.0
148632,0,0.0187297319999999,58,0,0.2351811859999999,8333.0,7,0,1,0,0.0
97931,0,0.047999119,75,0,0.447013247,8001.0,9,0,2,0,0.0
65684,0,0.035751958,63,0,0.279465067,8000.0,10,0,2,0,0.0
80813,0,0.120288722,47,1,2072.5,1.0,18,0,2,0,3.0
27663,0,0.1457036509999999,50,0,0.3463317089999999,8000.0,16,0,1,0,0.0
53771,0,0.02299808,57,0,660.0,,5,0,1,0,0.0
11674,0,0.6119375089999999,52,0,0.461005999,6500.0,10,0,2,0,0.0
103581,0,1.006993007,28,0,0.0214132759999999,1400.0,1,0,0,0,2.0
30122,0,0.01802383,59,0,1425.0,,11,0,1,0,2.0
110090,0,0.6615880349999999,67,0,0.2546779029999999,7000.0,12,0,2,0,0.0
53775,0,0.025062187,48,0,0.4057113889999999,5917.0,12,0,2,0,3.0
128539,0,0.461271511,55,0,739.0,,9,0,0,0,0.0
100955,0,0.9999999,33,0,199.0,1.0,1,0,0,0,0.0
43285,0,0.006193149,41,2,14508.0,,7,0,3,0,1.0
36941,0,0.92035988,36,1,0.213571645,3300.0,10,0,0,0,0.0
105506,0,0.3561105689999999,33,0,0.220340623,10333.0,9,0,1,0,3.0
