,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,dummy,monthly_income
66550,0,0.0,49,0,2137.0,5,0,1,0,0.0,0,6120.851569931064
106253,0,0.0,45,0,1373.0,4,0,1,0,0.0,0,5998.8436412492365
5554,0,0.062317981,69,0,74.0,7,0,0,0,0.0,0,5050.05036805647
83312,0,0.014476473,33,0,1753.0,34,0,1,0,0.0,0,9659.081501704066
97244,0,0.003693444,80,0,1337.0,9,0,1,0,0.0,0,6608.883284658375
4429,0,0.124227987,31,1,63.0,5,0,0,0,0.0,0,4806.034510692814
140505,0,0.016432786,51,0,14.0,1,0,0,0,0.0,0,4318.0027959655035
16903,0,0.497663128,47,0,3351.0,10,0,3,0,0.0,0,9360.525331816702
70473,0,0.0,38,0,576.0,6,0,0,0,0.0,0,4928.0424393746425
31348,0,0.0843915609999999,81,0,1677.0,3,0,1,0,0.0,0,5876.835712567408
129362,0,0.120667092,70,0,378.0,8,0,0,0,0.0,0,5172.058296738298
42095,0,0.2248281309999999,60,0,2058.0,12,0,2,0,0.0,0,8289.724129942108
129705,0,0.017779829,81,0,24.0,4,0,0,0,0.0,0,4684.026582010987
125471,0,0.0325359029999999,80,0,3275.0,4,0,1,0,0.0,0,5998.8436412492365
101868,0,0.009925681,79,0,11.0,8,0,0,0,0.0,0,5172.058296738298
39424,0,0.018131647,59,0,2251.0,11,0,1,0,0.0,0,6852.89914202203
88750,0,0.083683323,51,0,934.0,9,0,2,0,0.0,0,7923.700343896624
93501,0,0.9999999,42,1,0.0,1,1,0,0,3.0,0,4318.0027959655035
128638,0,0.9999999,68,0,1483.0,1,0,1,0,0.0,0,5632.819855203753
42180,0,0.006499809,54,0,1421.0,3,0,1,0,0.0,0,5876.835712567408
107301,0,0.0,88,0,0.0,2,0,0,0,0.0,0,4440.010724647332
20159,0,0.057938517,75,1,71.0,6,0,0,0,0.0,0,4928.0424393746425
19820,0,0.9999999,52,0,3.0,4,0,0,0,0.0,0,4684.026582010987
29650,0,0.0962154779999999,50,0,3043.0,7,0,2,0,0.0,0,7679.684486532969
70389,0,0.0,85,0,0.0,3,0,0,0,0.0,0,4562.018653329159
1269,0,0.006732763,76,0,613.0,7,0,1,0,0.0,0,6364.867427294719
52386,0,0.798345492,57,0,7504.0,20,0,2,0,0.0,0,9265.78755939673
51148,0,0.8323353289999998,31,0,5896.0,6,0,2,0,0.0,0,7557.67655785114
21382,0,0.01590335,62,0,2015.0,11,0,2,0,2.0,0,8167.716201260279
55688,0,0.0520143569999999,50,0,317.0,7,0,1,0,0.0,0,6364.867427294719
41296,0,0.014232859,57,0,1775.0,7,0,1,0,0.0,0,6364.867427294719
146436,1,0.9999999,62,1,1323.0,6,0,2,0,0.0,0,7557.67655785114
112344,0,0.0807383849999999,32,0,2572.0,5,0,2,0,0.0,0,7435.668629169313
