,serious_dlqin2yrs,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,dummy
145259,0,0.182294547,49,0,0.4017685509999999,2600.0,14,0,2,0,1.0,1
135999,0,0.011523444,66,0,0.303139372,5000.0,7,0,1,0,0.0,1
14478,0,0.3556302,44,0,0.774671357,5400.0,10,0,2,0,0.0,1
69032,0,0.020027579,73,0,0.20766507,4800.0,14,0,1,0,0.0,1
132545,0,0.0126516239999999,65,0,3.46506986,500.0,3,0,1,0,0.0,1
148238,0,0.9999999,30,0,0.0396862019999999,6500.0,3,0,0,0,0.0,1
99717,0,0.17557897,25,0,0.0839288119999999,14833.0,29,0,0,0,0.0,1
32872,0,0.241658611,62,0,0.358037364,4870.0,4,0,1,0,2.0,1
105849,0,0.2228497359999999,57,0,0.202505459,8700.0,3,0,1,0,1.0,1
86694,0,0.2081628939999999,67,0,574.0,,7,0,1,0,0.0,0
10738,0,0.3092048379999999,59,0,2041.0,,14,0,1,0,4.0,0
23871,0,0.116966921,70,0,1.845855926,1290.0,26,0,2,0,0.0,1
83848,1,0.315317028,65,0,2192.0,,11,0,1,0,0.0,0
145251,0,0.992627378,36,1,0.118544957,13167.0,7,0,0,0,3.0,1
131650,0,0.212893553,41,0,0.118631032,5200.0,5,0,0,0,0.0,1
35026,0,0.808297884,59,0,0.3890983889999999,5833.0,10,0,2,0,0.0,1
45250,0,0.1337216569999999,75,0,0.031752332,5038.0,4,0,0,0,0.0,1
45094,0,0.150859179,41,0,2847.0,,6,0,1,0,0.0,0
90266,0,0.327048068,44,0,0.105649058,6000.0,4,0,0,0,0.0,1
57588,0,0.042848214,74,0,0.4005198959999999,5000.0,6,0,1,0,0.0,1
113266,0,0.357112371,54,2,0.5109075039999998,4583.0,12,0,2,1,1.0,1
52542,0,0.0,33,0,0.2154394799999999,4766.0,4,0,1,0,0.0,1
53790,1,0.8378583629999998,62,4,0.338386369,7981.0,8,3,1,0,0.0,1
136776,0,0.818037487,27,0,0.4171165769999999,5000.0,9,0,0,0,0.0,1
111320,0,0.498375406,28,1,0.404397069,1500.0,6,0,0,0,0.0,1
